com.model.d3.D3Graph@fcc5b1Atype	Agroup	Aid	Aname	Btype	Bgroup	Bid	Bname
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.6	null
mp	MP:0005387	MP:0001845	abnormal inflammatory response	mp	MP:0005387	MP:0002498	abnormal acute inflammation
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	H2-DMB2	null
mp	MP:0005387	MP:0001845	abnormal inflammatory response	mp	MP:0005387	MP:0002499	chronic inflammation
pathway	HUMAN DISEASES	mmu05323	RHEUMATOID ARTHRITIS	gene	IMMUNE DISEASES	H2-DMB1	null
ppi	ppi	20371	20371	ppi	ppi	15270	15270
gene	IMMUNE DISEASES	TSHB	null	ppi	ppi	22094	22094
ppi	ppi	11984	11984	ppi	ppi	66237	66237
gene	IMMUNE DISEASES	C3	null	mp	MP:0005387	MP:0000336	decreased mast cell number
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.1	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.2	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.3	null
gene	IMMUNE DISEASES	FLT1	null	ppi	ppi	14254	14254
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.4	null
pathway	HUMAN DISEASES	mmu05320	AUTOIMMUNE THYROID DISEASE	gene	IMMUNE DISEASES	H2-M10.5	null
mp	MP:0005387	MP:0001866	nasal inflammation	mp	MP:0005387	MP:0001867	rhinitis
mp	MP:0005387	MP:0008604	abnormal circulating interleukin-7 level	mp	MP:0005387	MP:0008605	increased circulating interleukin-7 level
mp	MP:0005387	MP:0002339	abnormal lymph node morphology	mp	MP:0005387	MP:0008463	abnormal peripheral lymph node morphology
